"Datum zahájení";"Město";"Název";"Odběratel";"Ulice";"Číslo faktury";"Jazyk";"GPS";"Poznámka";"Ozvučení";"Čas příjezdu (na akci)";"Čas odjezdu (na akci)";"Příprava";"Smlouva";"Web";"Kontaktní osoby";"Země";"Kraj";"Způsob dopravy"
"11.12.2014";"Hradec Králové";"Hradec Králové 11.12.2014";"Luboš Cahák - AGENTURA MONIKA";"Víta Nejedlého 1063/10";"P-př.43/2014";"Čeština";"50.212462,15.853255";"3x andělé na chůdách";"";"06:00 (12.11.2014)";"03:00 (12.11.2014)";"60 min";"1. 2. 2014";"";"Luboš Cahák";"Česká republika";"Východočeský";"Iveco"
"17.12.2014";"Plavsko";"Plavsko 17.12.2014";"Mš Hluboká nad Vltavou";"KD";"P-bez.01/2014";"Čeština";"49.085240,14.903804";"";"";"";"";"120 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.2.2014";"Český Krumlov";"Český Krumlov 1.2.2014";"Městské divadlo Český Krumlov o.p.s.";"Horní Brána 2";"A-hot.01/2014";"Čeština";"48.810520,14.319129";"";"";"12:30 (02.01.2014)";"11:30 (02.01.2014)";"60 min";"1. 2. 2014";"www.divadlo.ckrumlov.cz";"";"Česká republika";"Jihočeský";"Scudo"
"22.12.2014";"Brno";"Brno 22.12.2014";"Promoplanet s.r.o.";"Plotní";"P-př.45/2014";"Čeština";"49.187951,16.616203";"";"";"";"";"0 min";"";"";"Monika Šudomová";"Česká republika";"Jihomoravský";"Iveco"
"18.12.2014";"Kladno";"Kladno 18-21.12.2014";"Klubko 55 s.r.o.";"Arménská 3277";"P-př.44/2014";"Čeština";"50.133760,14.139323";"18.12.2014 - Ateliér,animace,Byla cesta…,Moderátor soutěže
Výtvarné dílny

";"";"";"";"120 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"5.4.2014";"České Budějovice";"České Budějovice 5.4.2014";"METROPOL, spol. s r.o.";"DK Metropol";"P-př.06/2014A";"Čeština";"48.972436,14.479039";"Výstava loutek";"";"";"";"0 min";"";"";"Kateřina Jurková
724 748 417
jurkova@dfkgroup.cz";"Česká republika";"Jihočeský";"Iveco"
"14.12.2014";"Nebovidy";"Nebovidy 14.12.2014";"Nebovidská tvrz, z.s.";"Nebovidská 75";"P-hot.12/2014";"Čeština";"49.991611,15.219470";"";"";"";"";"120 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"13.12.2014";"Tábor";"Tábor 13.12.2014";"Město Tábor";"Žižkovo náměstí 2";"P-př.40/2014";"Čeština";"49.413900,14.658524";"";"";"";"";"120 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"7.12.2014";"Jihlava";"Jihlava 7.12.2014";"PAROLAART, s.r.o.";"Fritzova 34";"P-př.38/2014";"Čeština";"49.397408,15.586264";"Měla se hrát Čertovská pohádka";"";"11:00 (12.07.2014)";"09:00 (12.07.2014)";"60 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"6.12.2014";"České Budějovice";"České Budějovice 6.12.2014";"Horká vana";"Česká 222/7";"P-hot.11/2014";"Čeština";"48.977367,14.472743";"";"";"06:00 (12.06.2014)";"05:30 (12.06.2014)";"30 min";"";"";"";"Česká republika";"Jihočeský";"Scudo"
